2000	1.10145	1	1	1.0015			        1.10145	1	1	1.0035		      	    1.10145	1	1	1.0015
3000	1.10097	1.001	1.00043	1.00367			1.10097	1.001	1.00033	1.00233		    1.10097	1	1.00033	1.001
4000	1.10072	1	1.00032	1.00375			    1.10072	1.00025	1	1.00275		    	1.10072	1	1.00025	1.00675
5000	1.10058	1.0002	1.00061	1.0126			1.10058	1.0004	1.00021	1.0094		    1.10058	1	1	1.0062
