#\varsigma = cut /m	Fennel	eq	SGLd	SGLs
0.1	0.2225	0.3634	0.5182	0.174
0.2	0.2225	0.2478	0.3886	0.161
0.3	0.2225	0.197	0.2854	0.1505
0.4	0.2225	0.1665	0.2026	0.1042
0.5	0.2225	0.1379	0.1368	0.0995
