80000	13	131	95	817			20	135	161	1055			16	123	85	811
100000	14	162	114	1196		16	170	182	1498			15	165	106	1175
120000	15	186	140	1626		18	197	233	2172			15	183	112	1541
140000	18	227	160	2143		16	241	251	2717			17	212	119	2000
160000	20	245	189	2763		19	280	295	3629			19	245	133	2513
