2000	0.6218	0.6452	0.6449	0.6413		0.625	0.6501	0.6555	0.6386		0.6236	0.6467	0.6502	0.6397
3000	0.6022	0.6314	0.6332	0.6262		0.6105	0.6306	0.639	0.625		0.6041	0.6297	0.6371	0.6246
4000	0.6131	0.6466	0.6502	0.646		0.6125	0.6512	0.6541	0.6418		0.6098	0.6485	0.6563	0.6421
5000	0.6071	0.6501	0.6498	0.6423		0.6055	0.6476	0.6478	0.6408		0.6041	0.6496	0.6518	0.6419

