#    \tau = max load/(n/k)	Fennel	eq	SGLd	SGLs
0.1	1.0576	1.00042	1	       1.025
0.2	1.0576	1	    1	       1.0263
0.3	1.0576	1	    1.00014	   1.0195
0.4	1.0576	1.00026	1.00027	   1.0115
0.5	1.0576	1.00008	1	       1.0106
#old
#    \tau = max load/(n/k)	Fennel	eq	SGLd	SGLs
#0.1	1.0576	1.00042	1	       1.2515
#0.2	1.0576	1	    1	       1.26321
#0.3	1.0576	1	    1.00014	   1.19577
#0.4	1.0576	1.00026	1.00027	   1.1159
#0.5	1.0576	1.00008	1	       1.17665
