80000	0.6071	0.6501	0.6498	0.6423			0.6055	0.6476	0.6478	0.6408			0.6041	0.6496	0.6518	0.6419
100000	0.6163	0.6528	0.6564	0.6456			0.6196	0.6539	0.6553	0.6438			0.6124	0.6513	0.6625	0.6449
120000	0.6279	0.6543	0.6567	0.6477			0.6257	0.6561	0.6591	0.6477			0.6261	0.6533	0.6646	0.647
140000	0.626	0.6557	0.6577	0.6479			0.6318	0.6604	0.6658	0.6475			0.631	0.6568	0.6656	0.6491
160000	0.6301	0.6584	0.6567	0.6496			0.6285	0.6597	0.6672	0.6486			0.6273	0.6583	0.6653	0.6495
