#(Fennel	eq	SGLd	SGLs)*3
#random|dfs|bfs
#1  2       3       4       5           6       7       8       9           10      11      12      13
2	0.1307	0.0672	0.0467	0.024		0.0737	0.0523	0.0521	0.0267		0.0882	0.0659	0.0235	0.045
4	0.2225	0.197	0.2854	0.1505		0.2113	0.1657	0.3296	0.1283		0.1502	0.1806	0.3362	0.1689
8	0.3511	0.3401	0.4201	0.2408		0.2835	0.2667	0.4642	0.2123		0.2104	0.2678	0.4608	0.2293
16	0.4694	0.4322	0.5371	0.4045		0.4465	0.3977	0.5653	0.3813		0.276	0.3749	0.5356	0.3847
